R_fighter,B_fighter,R_odds,B_odds,Winner,title_bout,weight_class,finish,finish_details,finish_round,total_fight_time_secs
Derek Brunson,Edmen Shahbazyan,275,-360,Red,FALSE,Middleweight,KO/TKO,Punches,3,626
Joanne Calderwood,Jennifer Maia,-162,130,Blue,FALSE,Women's Flyweight,SUB,Armbar,1,269
Vicente Luque,Randy Brown,-200,160,Red,FALSE,Welterweight,KO/TKO,Knee,2,596
Lando Vannata,Bobby Green,-162,130,Blue,FALSE,Lightweight,U-DEC,,3,900
Frankie Saenz,Jonathan Martinez,200,-250,Blue,FALSE,Bantamweight,KO/TKO,Knee,3,657
Johnny Munoz,Nate Maness,110,-137,Blue,FALSE,Featherweight,U-DEC,,3,900
Jamall Emmers,Vince Cachero,-360,265,Red,FALSE,Featherweight,U-DEC,,3,900
Robert Whittaker,Darren Till,-130,107,Red,FALSE,Middleweight,U-DEC,,5,1500
Mauricio Rua,Rogerio Nogueira,-190,150,Red,FALSE,Light Heavyweight,S-DEC,,3,900
Fabricio Werdum,Alexander Gustafsson,260,-335,Red,FALSE,Heavyweight,SUB,Armbar,1,150
Carla Esparza,Marina Rodriguez,145,-182,Red,FALSE,Women's Strawweight,S-DEC,,3,900
Paul Craig,Gadzhimurad Antigulov,-137,110,Red,FALSE,Light Heavyweight,SUB,Triangle Choke,1,126
Alex Oliveira,Peter Sobotta,-182,145,Red,FALSE,Welterweight,U-DEC,,3,900
Khamzat Chimaev,Rhys McKee,-1250,700,Red,FALSE,Welterweight,KO/TKO,Punches,1,189
Francisco Trinaldo,Jai Herbert,-134,108,Red,FALSE,Lightweight,KO/TKO,Punch,3,450
Nicolas Dalby,Jesse Ronson,-265,205,Blue,FALSE,Welterweight,SUB,Rear Naked Choke,1,168
Tom Aspinall,Jake Collier,-278,220,Red,FALSE,Heavyweight,KO/TKO,Punches,1,45
Movsar Evloev,Mike Grundy,-200,161,Red,FALSE,Featherweight,U-DEC,,3,900
Tanner Boser,Raphael Pessoa,-278,220,Red,FALSE,Heavyweight,KO/TKO,Punch,2,456
Bethe Correia,Pannie Kianzad,131,-162,Blue,FALSE,Women's Bantamweight,U-DEC,,3,900
Ramazan Emeev,Niklas Stolze,-400,300,Red,FALSE,Welterweight,U-DEC,,3,900
Nathaniel Wood,John Castaneda,-455,320,Red,FALSE,Bantamweight,U-DEC,,3,900
Deiveson Figueiredo,Joseph Benavidez,-225,180,Red,TRUE,Flyweight,SUB,Rear Naked Choke,1,288
Jack Hermansson,Kelvin Gastelum,-112,-112,Red,FALSE,Middleweight,SUB,Heel Hook,1,78
Marc Diakiese,Rafael Fiziev,-167,135,Blue,FALSE,Lightweight,U-DEC,,3,900
Ariane Lipski,Luana Carolina,-125,100,Red,FALSE,Women's Flyweight,SUB,Kneebar,1,88
